date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:59	1782/1782	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Aug%202021%2006:02:55%20GMT	https://192.168.1.56/webmail/src/read_body.php	/home/sab/websites/boot2root_copy/192.168.1.56/webmail/src/read_body.html	(from )
17:47:00	4935/4935	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Aug%202021%2006:02:55%20GMT	https://192.168.1.56/forum/	/home/sab/websites/boot2root_copy/192.168.1.56/forum/index.html	(from )
17:47:00	296/296	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Aug%202021%2006:02:56%20GMT	https://192.168.1.56/icons/R/forum/EADME	/home/sab/websites/boot2root_copy/192.168.1.56/icons/R/forum/EADME	(from )
17:47:02	240/240	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Aug%202021%2006:02:58%20GMT	https://192.168.1.56/robots.txt		(from )
17:47:03	28929/28929	---M-Z	200	added ('OK')	text/css	etag:%2235da-7101-5218c463b9040%22	https://192.168.1.56/forum/themes/default/style.min.css	/home/sab/websites/boot2root_copy/192.168.1.56/forum/themes/default/style.min.css	(from https://192.168.1.56/forum/)
17:47:03	249136/249136	---MCZ	200	added ('OK')	text/html	etag:%22968d-3cd30-4b956f98dfa00%22	https://192.168.1.56/phpmyadmin/Documentation.html	/home/sab/websites/boot2root_copy/192.168.1.56/phpmyadmin/Documentation.html	(from )
17:47:04	63240/63240	---M-Z	200	added ('OK')	text/xml	date:Fri,%2027%20Aug%202021%2006:03:00%20GMT	https://192.168.1.56/forum/index.php?mode=rss	/home/sab/websites/boot2root_copy/192.168.1.56/forum/index0e47.php	(from https://192.168.1.56/forum/)
17:47:05	3001/3001	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Aug%202021%2006:03:01%20GMT	https://192.168.1.56/forum/index.php?mode=search	/home/sab/websites/boot2root_copy/192.168.1.56/forum/index42c2.html	(from https://192.168.1.56/forum/)
17:47:06	318/318	---M--	200	added ('OK')	image/x-icon	etag:%2235ce-13e-5218c463b9040%22	https://192.168.1.56/forum/themes/default/images/favicon.ico	/home/sab/websites/boot2root_copy/192.168.1.56/forum/themes/default/images/favicon.ico	(from https://192.168.1.56/forum/)
17:47:07	1812/1812	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2027%20Aug%202021%2006:03:03%20GMT	https://192.168.1.56/forum/index.php?mode=js_defaults&t=1444338637	/home/sab/websites/boot2root_copy/192.168.1.56/forum/index2c57.php	(from https://192.168.1.56/forum/)
17:47:08	22481/22481	---M-Z	200	added ('OK')	application/javascript	etag:%22356c-57d1-5218c463b9040%22	https://192.168.1.56/forum/js/main.min.js	/home/sab/websites/boot2root_copy/192.168.1.56/forum/js/main.min.js	(from https://192.168.1.56/forum/)
17:47:09	3270/3270	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Aug%202021%2006:03:05%20GMT	https://192.168.1.56/forum/index.php?mode=login	/home/sab/websites/boot2root_copy/192.168.1.56/forum/index26c3.html	(from https://192.168.1.56/forum/)
17:47:10	5065/5065	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Aug%202021%2006:03:06%20GMT	https://192.168.1.56/forum/index.php?mode=user	/home/sab/websites/boot2root_copy/192.168.1.56/forum/indexa880.html	(from https://192.168.1.56/forum/)
17:47:11	0/0	---M-Z	302	error ('Found')	text/html	date:Fri,%2027%20Aug%202021%2006:03:07%20GMT	https://192.168.1.56/forum/index.php?mode=posting	/home/sab/websites/boot2root_copy/192.168.1.56/forum/index121b.php	(from https://192.168.1.56/forum/)
17:47:12	3385/3385	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Aug%202021%2006:03:08%20GMT	https://192.168.1.56/forum/index.php?mode=login&login_message=registered_users_only&back=posting	/home/sab/websites/boot2root_copy/192.168.1.56/forum/index26f3.html	(from https://192.168.1.56/forum/)
17:47:13	0/0	---M-Z	302	error ('Found')	text/html	date:Fri,%2027%20Aug%202021%2006:03:09%20GMT	https://192.168.1.56/forum/index.php?refresh=1&category=0	/home/sab/websites/boot2root_copy/192.168.1.56/forum/index254e.php	(from https://192.168.1.56/forum/)
